phecode,cases,controls,p_value,neg_log_p_value,standard_error,beta,conf_int_1,conf_int_2,odds_ratio,log10_odds_ratio,converged,phecode_sex_restriction,phecode_string,phecode_category
CV_414.2,74,10538,0.4470348179240431,0.3496586499253366,0.267,-0.2032408845319893,-0.727,0.321,0.8160816363039681,-0.0882663946493789,True,Both,Dilated cardiomyopathy*,Cardiovascular
EM_200.11,212,10331,0.4921675397020191,0.307887033041119,0.15,0.1028948646263195,-0.191,0.397,1.1083748735436032,0.0446866719233926,True,Both,Secondary hypothyroidism,Endocrine/Metab
SO_367.31,66,10531,0.4043704765630864,0.3932205601378978,0.26,0.2167324475894176,-0.293,0.726,1.2420117544406606,0.0941257060374698,True,Both,Keratoconjunctivitis sicca,Sense organs
PP_914,145,5583,0.2722449390879174,0.5650401848380091,0.178,0.1950327403679009,-0.153,0.543,1.2153507768699148,0.0847016429322489,True,Female,Anemia in pregnancy,Pregnancy
GI_540.11,314,10232,6.486387130658099e-09,8.187997134649907,0.116,0.6739333826046051,0.446,0.902,1.9619392210487596,0.2926855492355729,True,Both,Autoimmune hepatitis,Gastrointestinal
MB_288.2,828,9365,1.0052843910487579e-28,27.997711060640157,0.074,0.8185157929327787,0.674,0.963,2.2671324451993256,0.3554768922213704,True,Both,Panic disorder [episodic paroxysmal anxiety],Mental
NS_336,1372,8654,1.0387574475631094e-30,29.98348584944228,0.062,0.7147274231158078,0.593,0.836,2.043629560154753,0.310402175924126,True,Both,Mononeuropathies,Neurological
RE_488.1,2714,6619,4.1929336809764826e-23,22.3774820067149,0.05,0.498643053811185,0.4,0.597,1.646485561866775,0.2165579267095838,True,Both,Dyspnea [Shortness of breath],Respiratory
SO_386,925,8932,2.196520692460816e-17,16.65826470108101,0.071,0.6064622367875528,0.466,0.747,1.8339318919209893,0.2633832029195375,True,Both,Visual disturbances,Sense organs
GU_612.2,150,5619,0.0013352682979254,2.874431461938802,0.168,0.5378604147651063,0.209,0.866,1.7123392442293066,0.2335898101666799,True,Female,"Breast conditions, congenital or relating to hormones",Genitourinary
GU_581.1,219,10169,0.2124906046885061,0.6726602676002228,0.145,0.1802092710503755,-0.103,0.464,1.197467932274439,0.0782638920049855,True,Both,Acute pyelonephritis,Genitourinary
MB_309.7,129,10222,8.948838052012502e-06,5.04823335131639,0.178,0.7918841448040022,0.442,1.141,2.207551857671563,0.3439109143950538,True,Both,Restlessness and agitation*,Mental
PP_938,816,4792,0.0110770632497266,1.9555753644715244,0.085,0.2158960145313365,0.049,0.382,1.2409733290979057,0.0937624477758637,True,Female,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",Pregnancy
CA_142.2,243,10226,0.6921329865876906,0.1598104520861848,0.148,0.0585148223306947,-0.231,0.348,1.060260701112862,0.0254126644477699,False,Both,Abnormal mammogram,Neoplasms
GI_542.11,336,10195,0.1389309415611385,0.8572010209810301,0.127,-0.1881657023483565,-0.437,0.061,0.8284774152049292,-0.081719326213341,True,Both,Cirrhosis of liver,Gastrointestinal
MB_280.1,2706,7011,2.1902211271101287e-23,22.659512036102484,0.049,0.490373451433041,0.394,0.587,1.632925924627353,0.212966484029222,True,Both,Alcohol use disorders,Mental
SS_829,1216,8402,4.935128621922664e-14,13.306701524035208,0.065,0.4879159621504951,0.361,0.615,1.628917953458582,0.2118992099944759,True,Both,Abnormal findings on examination of blood,Symptoms
SO_376,268,10211,0.0007209345123114,3.1421041835932777,0.131,0.4422105215397296,0.186,0.699,1.5561433076380855,0.1920495893442636,True,Both,Disorders of vitreous body,Sense organs
MS_741.6,662,9328,9.766934930427066e-19,18.01024170564158,0.082,0.7237938434393234,0.563,0.884,2.062242212300062,0.3143396722412443,True,Both,Sprains and strains of ankle and foot,Muscloskeletal
SS_826,146,10379,0.0646059965719196,1.1897271699734933,0.173,0.3196228098859019,-0.019,0.659,1.3766084233087077,0.1388104226238593,True,Both,Other abnormal immunological findings in serum,Symptoms
MB_289,223,10297,1.6632586242483943e-26,25.779040215993277,0.143,1.5191409293624398,1.24,1.799,4.568299017402167,0.6597545228554853,True,Both,Obsessive-compulsive disorder,Mental
MS_727.1,135,10471,0.6383650620039361,0.1949308901318172,0.193,-0.0906367227857655,-0.469,0.287,0.9133494496827504,-0.0393630285636526,True,Both,Osteonecrosis,Muscloskeletal
MS_745.1,629,9807,1.289992970077343e-06,5.889412656417757,0.085,0.4124072923403206,0.245,0.579,1.5104495055778082,0.1791062113600625,True,Both,Fracture of lower limb,Muscloskeletal
NS_325.3,165,10366,0.0005038882721103,3.2976657496359785,0.16,0.5557376415232426,0.243,0.869,1.7432263868001532,0.2413537910994717,True,Both,Lack of coordination,Neurological
BI_160.1,1127,9048,4.829630921504294e-10,9.316086056593935,0.067,0.4140549846045414,0.284,0.544,1.5129403130222014,0.1798217950182882,True,Both,Iron deficiency anemia,Blood/Immune
RE_498.1,430,9809,0.0691021786004943,1.160508260306583,0.105,0.1917017139963311,-0.015,0.398,1.211309146507186,0.0832549965600019,True,Both,Hypoxemia,Respiratory
CV_446,714,9293,3.23468983286e-05,4.49016735652021,0.082,0.3408286966066618,0.18,0.502,1.4061123484132134,0.1480200222105508,True,Both,Hypotension,Cardiovascular
ID_005.1,54,10554,0.8117563005520222,0.0905743318558172,0.294,0.0700153708147333,-0.506,0.646,1.0725246667054675,0.0304072891932486,True,Both,Mycobacterium tuberculosis,Infections
NS_333,3594,6119,2.555600884233936e-95,94.59250697027466,0.048,0.996274532525694,0.902,1.091,2.708173798181006,0.4326765319366506,True,Both,Sleep disorders,Neurological
RE_468,1407,8572,2.173952968469697e-07,6.662749855721218,0.061,0.3180093621810416,0.198,0.438,1.3743891284471703,0.138109711188799,True,Both,Pneumonia,Respiratory
CV_438.12,107,10485,0.0115829037899379,1.9361825509836283,0.201,0.5071238881227889,0.113,0.901,1.660508512223249,0.2202411062530492,True,Both,Thoracic aneurysm,Cardiovascular
CV_406,270,10216,0.3334599779791234,0.4769562828443977,0.139,-0.1340642078764129,-0.406,0.138,0.8745339108353304,-0.0582233457014566,True,Both,Pulmonary heart disease,Cardiovascular
NS_330.12,132,10474,0.0028180370536194,2.550053300766528,0.177,0.5301411379724763,0.182,0.878,1.6991721094020638,0.2302373708513569,True,Both,Partial epilepsy,Neurological
EM_232,1995,8075,2.3423919490386408e-35,34.63034043331898,0.054,0.6746611404153099,0.568,0.781,1.9633675573194036,0.293001610436924,True,Both,Vitamin deficiencies,Endocrine/Metab
GI_520.13,262,10176,0.0101719714911063,1.992594865687889,0.13,0.3345846270196186,0.079,0.59,1.3973598391381874,0.145308257244278,True,Both,Umbilical hernia,Gastrointestinal
RE_479.32,127,10475,0.0104505479223828,1.9808609388898508,0.225,-0.5758844105152223,-1.017,-0.135,0.5622074267079518,-0.2501034217008681,True,Both,Chronic respiratory failure,Respiratory
MB_287.1,439,10045,1.1682071257130892e-07,6.932480149022163,0.1,0.5278733643997823,0.333,0.723,1.6953231377445463,0.2292524893025299,True,Both,Schizophrenia,Mental
ID_054.32,106,10498,0.0002448748301044,3.611055852313013,0.196,0.7204951297921202,0.335,1.106,2.055450673599723,0.312907059106885,True,Both,Acute hepatitis C,Infections
NS_333.6,543,9853,3.678244052677012e-15,14.434359458563254,0.091,0.712408553528872,0.535,0.89,2.038896139933871,0.3093951036582665,True,Both,Sleep related movement disorders,Neurological
MS_726,428,10063,0.0047239614863385,2.3256936517737743,0.11,0.3121143595665048,0.096,0.529,1.3663109348216549,0.1355495440825005,True,Both,Osteoporosis and low bone density,Muscloskeletal
GU_602,570,4093,2.8183832499991382e-09,8.549999950885061,0.113,0.6735842738794522,0.451,0.896,1.961254410492097,0.2925339332426547,True,Male,Disorders of prostate,Genitourinary
NS_356.1,50,10530,0.3337798324515559,0.4765399076795519,0.296,0.2861212174301474,-0.294,0.866,1.331253816638715,0.1242608658853535,True,Both,Dysarthria,Neurological
MB_309,545,9461,2.0504117910613103e-20,19.688158909370564,0.089,0.8251475201841463,0.65,1.0,2.282217413630604,0.3583570147721268,True,Both,Signs and symptoms involving emotional state,Mental
SS_840.6,1228,8864,3.37293440745446e-12,11.471992104336314,0.064,0.4423372049845294,0.318,0.567,1.5563404577204616,0.1921046072652887,True,Both,Drug and medical agent allergy,Symptoms
RE_463.1,358,9986,6.970040417278126e-12,11.156764703544749,0.109,0.7493698900356914,0.535,0.964,2.115666493984835,0.3254472081469474,True,Both,Chronic rhinitis,Respiratory
PP_904,308,5351,0.0504678783953004,1.296984952064031,0.124,0.2425907036616525,-0.0,0.486,1.274546849986871,0.1053558039612827,True,Female,Bleeding in pregnancy,Pregnancy
GU_581.31,258,10216,0.9004360426664798,0.0455471293780045,0.138,-0.0172491963273446,-0.287,0.253,0.9828987193629372,-0.0074912307822316,True,Both,Hydronephrosis,Genitourinary
SS_840.64,198,10292,0.0008372289713147,3.077155751828289,0.146,0.4878725170460997,0.202,0.774,1.6288471864852927,0.2118803420253712,True,Both,Allergy to analgesic agent,Symptoms
MB_283.4,747,9238,3.41998706224e-05,4.465975536869283,0.08,0.3296396156090631,0.174,0.486,1.390466935578462,0.1431606660757251,True,Both,Patient's noncompliance with medical treatment and regimen,Mental
NS_324.1,52,10580,0.0256794998170289,1.5904134396693772,0.283,0.63183075782751,0.077,1.187,1.881051178019918,0.2744006116212374,True,Both,Parkinsonism,Neurological
EM_203,131,10443,0.0681371708176361,1.166615903110341,0.182,0.3320533332638275,-0.025,0.689,1.393827183883153,0.1442089303340618,True,Both,Metabolic syndrome [Dysmetabolic syndrome X],Endocrine/Metab
DE_684.21,70,5750,5.51733391215e-05,4.258270731500186,0.242,0.9757231528763752,0.501,1.45,2.6530851035581664,0.4237511811594527,True,Female,Hirsutism*,Dermatological
GI_530.2,86,10512,0.629365389705853,0.2010971436488142,0.231,0.111603067337362,-0.342,0.565,1.1180689744593653,0.0484685963080933,True,Both,Anorectal abscess,Gastrointestinal
RE_480.2,155,10309,0.7141394957322917,0.146216947454199,0.176,0.064369393607016,-0.28,0.409,1.0664862792220793,0.0279552724469854,True,Both,Chronic pulmonary edema,Respiratory
CV_440.1,792,9482,0.0018142910651898,2.741293038187978,0.078,0.2443614841632739,0.091,0.398,1.2768057921523277,0.1061248441617987,True,Both,Venous thromboembolism,Cardiovascular
SO_375,422,10102,0.0002653438533366,3.576190968305522,0.107,0.3894037434001563,0.18,0.599,1.4761003968338064,0.1691158969911576,True,Both,Abnormal intraocular pressure,Sense organs
SS_809.21,887,9436,1.850081081895696e-21,20.732809237733075,0.072,0.6888841419036852,0.547,0.831,1.9914920703887884,0.2991785814994271,True,Both,Chronic pain syndrome,Symptoms
PP_928,154,5600,0.1425317376334385,0.8460884202563901,0.171,0.251004551674407,-0.084,0.586,1.2853159346575256,0.1090098917247945,True,Female,Poor fetal growth and uterine size date discrepancy,Pregnancy
