phecode,cases,controls,p_value,neg_log_p_value,standard_error,beta,conf_int_1,conf_int_2,odds_ratio,log10_odds_ratio,converged,phecode_sex_restriction,phecode_string,phecode_category
BI_179,903,47698,5.3727041081000753e-08,7.269807076750845,0.076,0.4118145445059958,0.263,0.56,1.5095544552003128,0.1788487842464551,True,Both,Immunodeficiencies,Blood/Immune
MB_288,15662,29949,0.0,inf,0.026,1.9027307672543807,1.851,1.954,6.704177015253065,0.8263454727661184,True,Both,Anxiety and anxiety disorders,Mental
DE_668.3,3149,42917,1.5972044849177617e-82,81.7966394789859,0.04,0.7706956554469079,0.692,0.849,2.161269229659473,0.3347088703874019,True,Both,Contact dermatitis,Dermatological
DE_664.42,250,48715,2.5595937966372615e-10,9.591828951046104,0.132,0.8342782133951477,0.576,1.093,2.303151064612152,0.3623224244496162,True,Both,Psoriatic arthropathy,Dermatological
MS_719.91,93,48876,1.26626444814e-05,4.897475586280217,0.213,0.9307617160847396,0.513,1.349,2.536440489487644,0.4042246772624036,True,Both,Contracture of tendon,Muscloskeletal
GI_532.1,216,48749,0.0190065080723575,1.7210976655757908,0.155,0.3631032424731952,0.06,0.667,1.4377842919850217,0.1576937345672871,True,Both,Intestinal fistula,Gastrointestinal
CM_766,349,48415,5.726950340377729e-26,25.24207658273152,0.109,1.1440973240860992,0.931,1.357,3.1396060305983795,0.4968751546108693,True,Both,Congenital deformities of feet,Congenital
CA_139.4,102,48829,7.9831388308646e-06,5.097826318060259,0.204,0.9113695453061268,0.511,1.311,2.487727256578479,0.3958027645011264,True,Both,Benign neoplasm of peripheral nerves*,Neoplasms
SO_386.8,53,48896,0.0659189270119028,1.1809898704341548,0.299,0.5506523171657192,-0.036,1.138,1.7343840174085872,0.2391452627923111,True,Both,Sudden or transient visual loss,Sense organs
CV_424.4,233,48678,0.3699304164059636,0.4318799586705707,0.158,0.1415294316165108,-0.168,0.451,1.152034409996818,0.0614654511779542,True,Both,Combined systolic and diastolic heart failure,Cardiovascular
RE_474.13,148,48788,0.083942342648601,1.0760189147389716,0.189,0.3257891035428849,-0.044,0.695,1.385123220487469,0.141488409932882,True,Both,Centrilobular emphysema*,Respiratory
GE_961.82,88,30889,0.7062335580422598,0.1510516499472151,0.259,0.0978008060698497,-0.411,0.606,1.1027431034968809,0.0424743504018257,True,Female,Genetic susceptibility to malignant neoplasm of ovary,Genetic
CV_431,1512,46890,1.0734384164346436e-17,16.969222866150687,0.058,0.4979709236628311,0.384,0.612,1.6453792811057888,0.2162660242950329,True,Both,Stroke and transient cerebral ischemic attacks,Cardiovascular
RE_474,2054,46205,1.340712740828951e-32,31.87266426348832,0.049,0.5885109115841614,0.491,0.686,1.801304116221595,0.2555870414408538,True,Both,Chronic obstructive pulmonary disease [COPD],Respiratory
RE_463.1,1478,46347,2.444910582613369e-45,44.61173701964372,0.056,0.7920174453219985,0.682,0.902,2.207846145091592,0.3439688060744544,True,Both,Chronic rhinitis,Respiratory
CV_438.11,121,48833,0.1207225006404565,0.9182117771829006,0.209,0.3239253332336448,-0.085,0.733,1.382544073170168,0.140678984772044,True,Both,Abdominal aortic aneurysm,Cardiovascular
GI_546.31,72,48850,0.1000014333371762,0.9999937751403478,0.263,0.4332182529370504,-0.083,0.949,1.542212776440172,0.1881442967103282,True,Both,Hepatosplenomegaly*,Gastrointestinal
MS_705.3,88,48921,0.0894919198170077,1.0482161751567427,0.24,0.4069012602105228,-0.063,0.877,1.5021557757939772,0.1767149719889092,True,Both,Polymyalgia rheumatica,Muscloskeletal
CV_426,458,48124,6.844032471121973e-07,6.1646879386406335,0.103,0.5132205485077261,0.311,0.716,1.6706629914413005,0.2228888522162656,True,Both,Complications and ill-defined descriptions of heart disease,Cardiovascular
MB_307.3,76,48907,1.7482969949517132e-18,17.75738478891418,0.247,2.1670922344334955,1.683,2.651,8.732853994210128,0.9411561991898552,True,Both,Emotional disturbance of childhood or adolescence,Mental
CA_101.8,61,48952,0.9492541796093036,0.0226174819656096,0.322,-0.0205120954246456,-0.652,0.611,0.97969684655347,-0.0089082898551965,True,Both,Malignant neoplasm of the pancreas,Neoplasms
RE_468.9,177,48522,4.914209943403888e-06,5.30854629366095,0.159,0.727291557042541,0.415,1.039,2.069467974395678,0.3158587099583997,True,Both,Lobar pneumonia*,Respiratory
ID_089,17257,26019,0.0,inf,0.025,0.984261164426373,0.936,1.033,2.675834152440696,0.427459192462043,True,Both,Infections,Infections
GU_604.5,72,17875,0.0021131137383395,2.6750771264195974,0.248,0.7630840348258963,0.277,1.25,2.144880918152087,0.3314031855533556,True,Male,Balanoposthitis,Genitourinary
RE_480.2,293,48358,0.0003303147672965,3.4810720099839645,0.13,0.4674773466405192,0.212,0.723,1.595963049217943,0.2030228320607511,True,Both,Chronic pulmonary edema,Respiratory
NS_324,2220,45246,1.93245221558045e-113,112.71389123622792,0.045,1.023029313181986,0.934,1.112,2.781608376718876,0.4442959855402101,True,Both,Extrapyramidal and movement disorders,Neurological
MB_308,715,47746,4.3770663625246314e-46,45.3588168688176,0.077,1.095382472012013,0.945,1.246,2.990326180772488,0.4757185631683605,True,Both,Symptoms related to mental disorders,Mental
CV_404.1,990,47581,0.0117643424444836,1.929432342241724,0.076,0.1924830677980984,0.043,0.342,1.2122559773707011,0.0835943342045236,True,Both,Myocardial infarction [Heart attack],Cardiovascular
GU_592.1,1887,45323,4.8664328811363847e-48,47.312789262127936,0.051,0.7429706873426891,0.643,0.843,2.102171141061049,0.3226680697287961,True,Both,Cystitis,Genitourinary
SS_840.611,764,47620,5.85208385881939e-22,21.23268945917667,0.077,0.7442709334679872,0.593,0.896,2.1049062587196543,0.3232327594461291,True,Both,Penicillin allergy,Symptoms
SO_367.12,844,47391,7.187828251606181e-21,20.143402308617997,0.074,0.6966975955295138,0.551,0.842,2.0071134503170325,0.3025719212937314,True,Both,Allergic conjunctivitis,Sense organs
GU_580.5,239,48662,0.4427678824263339,0.3538238895794527,0.169,-0.1295434423400628,-0.46,0.201,0.878496423646889,-0.0562600021750413,True,Both,Morphologic lesions in glomerular diseases,Genitourinary
DE_660.123,634,47693,2.3076008434809168e-33,32.63683931096929,0.082,0.9894638773091152,0.828,1.151,2.689792027180487,0.4297187019579449,True,Both,Dermatophytosis of foot [Athelet's foot],Dermatological
PP_928,621,29860,0.790637558031736,0.1020225590058137,0.101,0.02669054252014,-0.17,0.224,1.0270499252996732,0.0115915553355009,True,Female,Poor fetal growth and uterine size date discrepancy,Pregnancy
GI_509.1,139,48700,2.6047439662518625e-14,13.584234959315989,0.17,1.2968124483994494,0.963,1.631,3.657619216280212,0.5631984904033264,True,Both,Glossitis,Gastrointestinal
NS_334.44,50,48968,0.7245373844894785,0.1399392010021719,0.368,-0.1297850895304084,-0.852,0.592,0.8782841631015011,-0.0563649482163758,True,Both,Sixth [abducent] nerve palsy,Neurological
RE_471.2,1174,47080,1.8211764676595535e-35,34.73964797006582,0.063,0.7772919531652266,0.655,0.9,2.175572728151555,0.3375736060874588,True,Both,Deviated nasal septum,Respiratory
MB_289,667,48075,9.682633874754098e-107,106.01400648962564,0.079,1.7381419809843697,1.583,1.893,5.686767478449379,0.7548654711058985,True,Both,Obsessive-compulsive disorder,Mental
BI_175,267,48628,6.935739784754615e-06,5.158907209096596,0.133,0.5969112601782189,0.337,0.857,1.8164994323422023,0.2592352664813167,True,Both,Polycythemias,Blood/Immune
GI_558,818,47148,1.622743645263989e-17,16.78975008290994,0.076,0.6479396881058404,0.499,0.797,1.9115982802947784,0.2813966311504805,True,Both,Abnormal findings on diagnostic imaging of the digestive tract,Gastrointestinal
GI_502.1,1881,45884,3.2350128849189785e-96,95.49012398521536,0.049,1.0143758485960928,0.919,1.11,2.7576416742017806,0.4405378336212115,True,Both,Diseases of hard tissues of teeth,Gastrointestinal
GE_983.2,101,48894,0.484609210562765,0.3146083358473557,0.238,0.1660598404079603,-0.3,0.632,1.1806437498130944,0.0721188723549118,True,Both,Hemoglobin C trait [Sickle-cell trait],Genetic
GI_540.1,916,47869,1.2178923670372436e-21,20.91439109139714,0.072,0.6833056111156216,0.543,0.823,1.980413400640754,0.2967558563610437,True,Both,Chronic hepatitis,Gastrointestinal
PP_929,279,30474,0.4290973912298313,0.3674441258260623,0.146,0.1150950178430268,-0.17,0.4,1.1219800406306415,0.0499851311437828,True,Female,Excessive fetal growth,Pregnancy
PP_916,1021,29164,0.009923746313855,2.003324346364873,0.076,0.1948388255744345,0.047,0.343,1.2151151252239374,0.084617426807487,True,Female,Maternal infections and carrier state in pregnancy,Pregnancy
GI_530.2,198,48723,0.1342391252258148,0.8721208866020806,0.166,0.2489709502838414,-0.077,0.575,1.2827047703190848,0.1081267098624811,True,Both,Anorectal abscess,Gastrointestinal
PP_904.1,835,29489,0.0239051910971727,1.62150778022103,0.084,0.1886600691407012,0.025,0.352,1.2076303718723196,0.0819340269832924,True,Female,Hemorrhage in early pregnancy,Pregnancy
CV_423.1,967,47395,1.4420343937713266e-11,10.841024381192897,0.072,0.4874384999231053,0.346,0.629,1.6281403923070998,0.2116918507838033,True,Both,Cardiac murmurs,Cardiovascular
CA_148.16,236,48728,0.0007508115913063,3.1244690312004977,0.144,0.4859951504982346,0.203,0.769,1.6257921119105072,0.2110650120931237,True,Both,Benign neoplasm of choroid,Neoplasms
RE_469,3847,41851,3.5329514982241345e-113,112.45186232469317,0.037,0.8260318572515366,0.754,0.898,2.2842365557548443,0.358741077480637,True,Both,Bronchitis,Respiratory
GI_506.5,331,48286,8.633637440260008e-24,23.063806192997397,0.112,1.12286005762389,0.904,1.342,3.0736324100280306,0.4876519269756227,True,Both,Disturbances of salivary secretion,Gastrointestinal
NS_329.42,184,48813,1.1820207894305554e-23,22.927374884998272,0.148,1.484287019172867,1.194,1.774,4.41181874897559,0.6446176619874023,True,Both,Cognitive communication deficit,Neurological
NS_356.4,85,48772,0.0032289422894462,2.4909397170141165,0.231,0.6804884224516239,0.228,1.133,1.9748420539106384,0.2955323668697891,True,Both,Slurred speech*,Neurological
SO_366.2,113,48800,0.3002257391330746,0.5225520773016941,0.221,0.2288327761715265,-0.204,0.662,1.2571317990394315,0.0993808119698958,True,Both,Conjunctival degenerations and deposits,Sense organs
GU_582.2,2321,46334,1.707722245501625e-14,13.767582764241403,0.049,0.3739434186011615,0.278,0.469,1.4534549096182887,0.1624015632425222,True,Both,Chronic kidney disease,Genitourinary
SO_369.7,71,48943,0.0455683100373075,1.3413370775198423,0.26,0.5204025234624307,0.01,1.031,1.6827048415760133,0.2260079443082611,True,Both,Endothelial corneal dystrophy [Fuchs' dystrophy],Sense organs
GI_535,214,48272,0.0017274549006994,2.762593282091549,0.152,0.4758498272619808,0.178,0.773,1.6093813126120324,0.2066589541944938,True,Both,Intestinal or peritoneal adhesions,Gastrointestinal
GI_522.4,53,48857,0.5848626611941319,0.2329461039828404,0.366,-0.199956394617722,-0.917,0.517,0.8187664549238433,-0.0868399588037457,True,Both,Toxic gastroenteritis and colitis,Gastrointestinal
ID_057.1,520,48446,5.958937702218282e-12,11.22483115488806,0.095,0.653311342358338,0.467,0.839,1.921894354042886,0.2837295109510324,True,Both,Human immunodeficiency virus,Infections
NS_335,328,48456,5.23411044152036e-17,16.281157117837363,0.114,0.953502610420012,0.731,1.176,2.594782272551074,0.4141009221857572,True,Both,Nerve root and plexus disorders,Neurological
MB_280.3,1761,45985,6.415889141972313e-106,105.19274314868986,0.05,1.094675039370566,0.997,1.193,2.988211474517945,0.4754113290758617,True,Both,Cannabis use disorders,Mental
CV_438.1,549,48244,2.05708816789658e-06,5.686747093813117,0.096,0.4553341592982327,0.267,0.643,1.5767001640350418,0.1977491128052786,True,Both,Aortic aneurysm and ectasia,Cardiovascular
GI_554.1,645,48137,2.325247672193113e-11,10.63353078172538,0.086,0.5765317726641028,0.407,0.746,1.7798547728057372,0.2503845675099199,True,Both,Pancreatitis,Gastrointestinal
CM_750.21,61,48942,0.0022520352340361,2.6474248190481395,0.267,0.8152604926182699,0.292,1.338,2.259764247592148,0.3540631332578414,True,Both,Spina bifida,Congenital
GI_557.8,1546,46070,3.033851607387764e-52,51.51800566536495,0.055,0.8298643231752285,0.723,0.937,2.293007611166296,0.3604054962833786,True,Both,Hemorrhage of rectum and anus,Gastrointestinal
CM_750.1,127,48810,2.12703343649e-05,4.672225683029964,0.186,0.7901871736064665,0.426,1.155,2.2038088825107724,0.3431739291680152,True,Both,Congenital malformations of brain,Congenital
GE_971.14,85,48939,2.77211735299e-05,4.557188388534219,0.223,0.9344104112842392,0.497,1.371,2.545712092065312,0.4058092854536931,True,Both,Von Willebrand's disease,Genetic
RE_481.4,239,48533,0.0464412620388681,1.3330959868432597,0.15,0.2979487921796116,0.005,0.591,1.3470928044269477,0.129397516333344,True,Both,Pulmonary fibrosis,Respiratory
RE_474.1,507,48251,3.563810317506093e-08,7.448085419184166,0.098,0.5389912380273776,0.347,0.731,1.7142766925289232,0.2340809204694922,True,Both,Emphysema,Respiratory
MB_305.1,114,48872,1.8080058176393642e-17,16.742800176424478,0.189,1.6051921693511977,1.235,1.975,4.978816286709621,0.6971261015435352,True,Both,Tics and tic disorders,Mental
SO_396,3529,43919,7.638259638313794e-115,114.1170055832538,0.038,0.8552234338168834,0.782,0.929,2.351899815825492,0.3714188181010234,True,Both,Hearing impairment,Sense organs
MB_280.31,1099,47101,1.7226281388151608e-82,81.76380846294109,0.062,1.194053624846309,1.072,1.316,3.3004328444183173,0.5185709003673276,True,Both,Cannabis abuse or dependance,Mental
SS_819,4437,40152,1.5965816771174362e-148,147.7968088591389,0.034,0.8927459949497057,0.825,0.96,2.441825694456936,0.3877146593478855,True,Both,General symptoms and other findings,Symptoms
MB_284.2,609,47962,2.2766125332384868e-69,68.64271087759538,0.082,1.4415689451969131,1.281,1.602,4.227323054953381,0.6260654381821107,True,Both,Suicide and self-inflicted harm,Mental
SO_395.1,72,48854,0.0533659273122055,1.2727359396608295,0.26,0.5014572060317247,-0.007,1.01,1.6511255486191212,0.2177800974902,True,Both,Labyrinthitis,Sense organs
DE_679,6336,37949,3.1231941802115075e-222,221.50540101328093,0.03,0.9577144528458612,0.899,1.017,2.6057341341800244,0.4159301021099496,True,Both,Skin symptoms,Dermatological
MS_726,1646,46806,5.813713332535818e-18,17.23554638659504,0.056,0.4850099868430831,0.375,0.595,1.6241912293061778,0.2106371609539198,True,Both,Osteoporosis and low bone density,Muscloskeletal
GE_970.25,57,48953,0.0665456550978622,1.176880295239997,0.29,0.5316271631351965,-0.036,1.1,1.7016989989581548,0.2308827433794957,True,Both,Thalassemia minor,Genetic
NS_333.52,85,48904,1.6891508606400544e-11,10.772331561194136,0.217,1.4635415083619427,1.037,1.89,4.321236155204934,0.6356080011179536,True,Both,REM sleep behavior disorder,Neurological
MS_710.2,73,48885,0.0011208295712273,2.950460419432259,0.245,0.797323371099752,0.318,1.277,2.219591946484876,0.346273140361121,True,Both,Deformities of the hip,Muscloskeletal
SS_848,1013,46828,6.583343005986339e-11,10.181553516664517,0.071,0.4639369743093794,0.325,0.603,1.590322736092651,0.2014852678934542,True,Both,Nonspecific abnormal findings of other body structures,Symptoms
CV_406.11,82,48880,0.2036010079904064,0.6912200762194257,0.253,0.3219843233024289,-0.174,0.818,1.3798631440904894,0.1398360148695974,True,Both,Primary pulmonary hypertension,Cardiovascular
CV_438,960,47655,1.2132766126163874e-13,12.916040173875698,0.072,0.5323037473753238,0.392,0.673,1.7028507312603172,0.2311765801815257,True,Both,Aneurysm or ectasia,Cardiovascular
MB_293.3,73,48921,7.616215395592438e-11,10.11826078208755,0.235,1.5288818251928311,1.068,1.989,4.613015779333891,0.6639849401634187,True,Both,Binge eating disorder*,Mental
CA_114.6,144,48803,0.4978615244072429,0.3028914354503575,0.201,0.1360917573535381,-0.257,0.53,1.145787023156546,0.0591038992511579,True,Both,Pheochromocytoma,Neoplasms
CV_416.41,329,48379,0.0031132561088286,2.506785151056654,0.126,0.3714571381919705,0.125,0.618,1.449845701761476,0.1613217853803464,True,Both,Atrioventricular block,Cardiovascular
MS_745.2,160,48820,0.0060459411202276,2.218536086613172,0.175,0.4805495948658999,0.137,0.824,1.6169628325032566,0.2087000373311035,True,Both,Fracture of pelvis,Muscloskeletal
MS_712.6,793,47636,2.7986147208149973e-46,45.5530568857929,0.073,1.0457283322623705,0.902,1.189,2.8454702168802486,0.4541540442714377,True,Both,Instability of joint,Muscloskeletal
GI_557.2,1224,46428,7.969954874429842e-40,39.09854413755515,0.061,0.8076133720737699,0.688,0.927,2.2425494636437397,0.350742031002916,True,Both,Blood in stool,Gastrointestinal
SO_374.91,52,48962,0.0552069321596534,1.2580063858638884,0.301,0.5764829831166967,-0.013,1.166,1.7797679366152896,0.2503633784787068,True,Both,Transient retinal arterial occlusion [Amaurosis fugax],Sense organs
MS_700.2,478,48370,1.355288752252017e-18,17.867968165933664,0.096,0.8448369708611231,0.657,1.033,2.327598317287199,0.3669080345528441,True,Both,Sicca syndrome [Sjogren syndrome],Muscloskeletal
CA_136.4,3935,43479,3.224198759716351e-40,39.49157819342175,0.038,0.4995584985109946,0.426,0.573,1.6479935184678276,0.2169554992911987,True,Both,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
CA_148.5,63,48968,0.6569866212422268,0.1824434742451436,0.303,0.1346708154229591,-0.46,0.729,1.1441600824996716,0.0584867920116024,True,Both,Benign neoplasm of cranial nerve,Neoplasms
RE_468.5,102,48878,0.000398538312429,3.3995299225069613,0.209,0.7397749133667438,0.33,1.149,2.095463800516132,0.321280162725633,True,Both,Pneumonia due to fungus,Respiratory
MB_280.11,2549,45453,3.0420633355000723e-116,115.5168317482147,0.043,0.9856544529683712,0.901,1.07,2.6795649599477187,0.4280642899875319,True,Both,Alcohol abuse and dependence,Mental
GU_612,3228,25824,1.4218038653495911e-53,52.84716030942293,0.042,0.6430492255418677,0.561,0.725,1.902272502737407,0.2792727302449928,True,Female,Other nonmalignant breast conditions,Genitourinary
NS_355.2,980,46919,6.148284843953999e-64,63.21124602027252,0.066,1.1114182058740678,0.982,1.24,3.0386647922922685,0.4826827938979199,True,Both,Alteration of consciousness,Neurological
NS_337.6,62,48899,4.3968995868730335e-08,7.356853452361849,0.254,1.392508827041647,0.894,1.891,4.024935263109369,0.604758899585757,True,Both,Idiopathic progressive neuropathy,Neurological
SO_374.41,87,48886,0.1338964543984681,0.8732309230295721,0.243,0.364829736051933,-0.112,0.842,1.4402687614258738,0.1584435412015743,True,Both,Hypertensive retinopathy,Sense organs
DE_672.12,81,48776,2.1351295976036785e-06,5.670575759132649,0.225,1.0686097075317784,0.627,1.51,2.91132908609855,0.4640912992892991,True,Both,Sunburn,Dermatological
EM_257,112,48690,1.0688978093157194e-11,10.9710638130061,0.19,1.2888194459568272,0.917,1.66,3.6285003854220936,0.5597271735486563,True,Both,Polydipsia,Endocrine/Metab
GI_522.8,148,48525,0.0003883294985575,3.410799618019033,0.177,0.6277738528790957,0.281,0.975,1.873435390895177,0.2726387201885351,True,Both,Duodenitis,Gastrointestinal
NS_352.2,66,48827,0.1392580719092597,0.856179622121561,0.277,0.4090047810499554,-0.133,0.951,1.5053189174732986,0.1776285194820434,True,Both,Parageusia*,Neurological
CM_763.1,102,48861,0.0342229016088531,1.4656831713206149,0.22,0.4654031559593638,0.035,0.896,1.5926561482909274,0.2021220224935102,True,Both,Congenital malformations of great arteries,Congenital
CV_401.7,224,48605,0.0879485910365548,1.0557711136817995,0.156,0.2656269990117544,-0.039,0.571,1.304248481973078,0.1153603399153254,True,Both,Hypertensive crisis*,Cardiovascular
MB_284.1,1637,46407,2.545886744215289e-133,132.59416092018606,0.051,1.259042688471177,1.159,1.359,3.5220481756442887,0.5467952920836671,True,Both,Suicidal ideations,Mental
DE_679.3,600,47838,7.490240144169101e-24,23.1255042581863,0.086,0.865046211456295,0.697,1.033,2.3751158410030047,0.3756847962267824,True,Both,Flushing,Dermatological
EM_200.3,710,47933,3.6935739210327784e-08,7.432553204839724,0.084,0.4641696181750985,0.299,0.629,1.5906927579617067,0.2015863038405846,True,Both,Thyrotoxicosis [hyperthyroidism],Endocrine/Metab
NS_336.4,2692,45050,1.3205686056912655e-112,111.87923903156484,0.042,0.9421001494647836,0.86,1.024,2.5653634114516555,0.4091488963127843,True,Both,Mononeuritis of upper limb,Neurological
PP_922,351,30390,0.6055306802384128,0.2178638476973246,0.132,0.0679880390433964,-0.19,0.326,1.070352505962335,0.0295268301919699,True,Female,"Endocrine, nutritional and metabolic diseases complicating pregnancy",Pregnancy
EM_200.7,152,48744,0.0059846067786911,2.222964379836492,0.179,0.4928517088193356,0.141,0.844,1.6369777540256198,0.2140427775368256,True,Both,Iodine-related thyroid disorders,Endocrine/Metab
RE_466.2,283,48538,1.6084054848943676e-08,7.7936044545598655,0.126,0.7143452472093895,0.467,0.962,2.0428486834008623,0.3102361990368522,True,Both,Chronic tonsillitis and adenoiditis,Respiratory
GU_594.2,3870,41753,4.699863493887709e-133,132.32791475583284,0.037,0.9015308001157932,0.83,0.974,2.4633711552096305,0.3915298517561125,True,Both,Dysuria,Genitourinary
EM_200.2,2510,45821,3.8959547982972235e-17,16.409386090541872,0.047,0.3964983483703296,0.304,0.489,1.4866099826436063,0.1721970447809873,True,Both,Goiter,Endocrine/Metab
ID_050,67,48802,4.253404958534297e-07,6.371263266972223,0.245,1.240503495211169,0.76,1.721,3.457353787679197,0.5387438227519077,True,Both,Enterovirus,Infections
RE_460.1,11183,32356,1.6037396153796837e-255,254.7948661427747,0.026,0.8855435656946993,0.835,0.936,2.4243018006963424,0.3845866840661376,True,Both,Acute upper respiratory infection,Respiratory
NS_333,11393,34784,0.0,inf,0.025,1.3150391115923332,1.266,1.364,3.7248966690422383,0.5711142296515049,True,Both,Sleep disorders,Neurological
GU_599.7,84,48867,1.79427137942e-05,4.746111870281031,0.224,0.9613475864551864,0.522,1.401,2.61521833268771,0.4175079519884966,True,Both,Urethral discharge,Genitourinary
GE_978.22,285,48683,9.595516802619322e-26,25.017931629737102,0.12,1.2540443509382977,1.02,1.488,3.504487713174642,0.5446245416744476,True,Both,Ehler's Danlos syndrome,Genetic
EM_230.4,73,48888,0.1983733959992429,0.7025165718262273,0.267,0.3434147595545502,-0.18,0.867,1.4097533493576646,0.1491431350786732,True,Both,Cachexia,Endocrine/Metab
EM_239.11,3558,44030,1.4008332848702896e-25,24.85361354763295,0.04,0.4164873754467722,0.338,0.495,1.5166248544902607,0.180878168938901,True,Both,Pure hypercholesterolemia,Endocrine/Metab
CV_414,998,47708,1.56626850451e-05,4.805133785040273,0.074,0.3186343293348468,0.174,0.463,1.3752483449720838,0.1383811309750674,True,Both,Cardiomyopathy,Cardiovascular
MS_725,107,48815,0.0011760915925005,2.9295588546471176,0.206,0.6695934517092744,0.265,1.074,1.9534429902713293,0.2908007411958894,True,Both,Osteochondrosis,Muscloskeletal
NS_351,5346,40814,3.744222348511314e-186,185.4266383688377,0.032,0.9222777812595464,0.86,0.984,2.515012518966385,0.4005401511829953,True,Both,Disturbances of skin sensation,Neurological
MB_293,705,47983,5.619901960380733e-65,64.25027126066529,0.077,1.3033335262226124,1.153,1.453,3.681548774292883,0.5660305585179878,True,Both,Eating disorders,Mental
