phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
CV_430.1	67	35798	0.004018578849218406	2.395927505886688	0.258	0.7420687795749206	0.236	1.248	2.10027603131531	0.3222763761620685	True	Both	Nontraumatic subarachnoid hemorrhage	Cardiovascular
SS_834.1	1121	34066	2.3356906686800363e-28	27.63158467430826	0.066	0.7282238197486178	0.599	0.857	2.071398161790693	0.316263586507333	True	Both	Abnormal Papanicolaou smear	Symptoms
CA_114.4	64	35823	0.49158148939010937	0.3084044789326268	0.296	0.20328132034638613	-0.376	0.783	1.225417154539975	0.08828395570044272	True	Both	Carcinoid tumors	Neoplasms
MS_710	1387	33833	1.6156263332073453e-90	89.79165907684802	0.057	1.1430632065917439	1.032	1.254	3.1363609872439926	0.4964260430894311	True	Both	Acquired deformities of limbs	Muscloskeletal
NS_337.2	73	35809	0.0011242662626757933	2.9491308215814342	0.245	0.7975063814769653	0.318	1.277	2.2199981920167016	0.3463526207580757	True	Both	Inflammatory polyneuropathy	Neurological
DE_660.4	185	35379	0.000010873400852386063	4.963634601228681	0.157	0.6906729648874573	0.383	0.998	1.9950576853525017	0.2999554574503811	True	Both	Carbuncle and furuncle	Dermatological
GU_602.4	430	12656	0.00005835197036502969	4.233944474593554	0.119	0.4801740040671351	0.246	0.714	1.616355630178365	0.2085369203197464	True	Male	Elevated prostate specific antigen [PSA]	Genitourinary
EM_230.7	121	35680	4.060560019832587e-6	5.391414065745305	0.189	0.8691732070546533	0.5	1.239	2.384938188074724	0.3774771276419885	True	Both	Failure to thrive	Endocrine/Metab
CA_139.61	1053	33913	4.010431762704677e-16	15.396808868759868	0.07	0.5723592174741331	0.435	0.71	1.7724437028376616	0.24857244981547927	True	Both	Hemangioma	Neoplasms
MS_714.31	316	35353	3.3985479576862846e-20	19.468706597269875	0.115	1.0588599642053758	0.833	1.284	2.883082297992701	0.45985703956266943	True	Both	Idiopathic scoliosis	Muscloskeletal
CA_144.1	147	22358	1.5892329528480823e-6	5.798812438399136	0.173	0.8308611825357889	0.492	1.17	2.2952945569596004	0.36083842680290357	True	Female	Benign neoplasms of external female genital organs and cervix	Neoplasms
CM_766.22	75	35791	2.0218898945008406e-7	6.694242498355651	0.233	1.209479306274052	0.753	1.666	3.351738968653146	0.5252701886909938	True	Both	Congenital pes planus	Congenital
GI_500	310	35292	1.326871622304361e-26	25.87717109403223	0.115	1.2272963149035203	1.002	1.453	3.411992102164328	0.5330080172227946	True	Both	Disorders of tooth develoment	Gastrointestinal
EM_209.13	106	35767	1.1031247634490763e-6	5.957375366060941	0.199	0.9701645568980615	0.58	1.36	2.6383785870300147	0.42133711359894155	True	Both	Hyperprolactinemia*	Endocrine/Metab
SS_840.2	530	34348	1.4171507263250835e-37	36.848583956294505	0.089	1.1407053898041148	0.966	1.315	3.128974733794261	0.49540205626922496	True	Both	Allergy to insects	Symptoms
MS_740.7	110	35707	9.273920552291201e-10	9.032736628932916	0.192	1.1773943041532156	0.8	1.554	3.245905331987909	0.5113358493180604	True	Both	Dislocation of knee	Muscloskeletal
SO_360.4	592	34952	2.1197777880462825e-12	11.673709662884159	0.09	0.6354985099513041	0.458	0.813	1.8879630752875385	0.2759934961295901	True	Both	Blepharitis	Sense organs
SS_812.1	77	35685	0.006861989559236817	2.1635499470739705	0.244	0.6590971436741524	0.181	1.137	1.9330462832389919	0.28624225253587915	True	Both	Generalized edema*	Symptoms
GU_586.2	422	35024	8.798106034399619e-9	8.055610808228996	0.107	0.617422952443934	0.407	0.828	1.8541436633125272	0.2681433812468144	True	Both	Cyst of kidney	Genitourinary
GI_557	2401	32036	1.4750134589206746e-80	79.83120401690051	0.045	0.8645488045093856	0.775	0.954	2.37393473565333	0.3754687751344794	True	Both	Gastrointestinal hemorrhage	Gastrointestinal
GI_524.1	1700	33463	1.9949980508153717e-92	91.7000575242983	0.052	1.059392914488004	0.958	1.161	2.8846192470405927	0.4600884969295437	True	Both	Irritable bowel syndrome	Gastrointestinal
DE_660.11	239	35304	5.972327229154498e-19	18.223856404911718	0.131	1.1680926278412334	0.911	1.426	3.215852956664527	0.5072961826233164	True	Both	Candidiasis of skin and nails	Dermatological
SS_809	12903	19370	0.0	inf	0.031	1.3958452429653083	1.336	1.456	4.038386548275987	0.6062078866107373	True	Both	Pain	Symptoms
GU_582.21	287	35576	0.094608039437605	1.024071957308158	0.162	-0.2702207101387244	-0.587	0.047	0.7632110273346303	-0.11735536330922612	True	Both	End stage renal disease [CDK, stage 5]	Genitourinary
DE_666.4	86	35704	1.111877906890222e-6	5.9539428991523415	0.219	1.066862566065823	0.638	1.496	2.906247023165378	0.46333252539153036	True	Both	Dermatographic urticaria	Dermatological
SO_367.12	592	34717	1.989056800016674e-23	22.701352814873754	0.087	0.8642345367240486	0.694	1.034	2.373188801659073	0.3753322903694676	True	Both	Allergic conjunctivitis	Sense organs
MS_713.3	12145	20790	0.0	inf	0.03	1.3759119121969892	1.317	1.435	3.9586850506132008	0.5975509510521039	True	Both	Pain in joint	Muscloskeletal
CV_403	778	34620	3.90170334960091e-27	26.40874575352913	0.079	0.8473657147752411	0.693	1.001	2.333491665610463	0.368006254080892	True	Both	Angina pectoris	Cardiovascular
GU_585	1811	33344	5.147538151019405e-45	44.28840042592104	0.052	0.736379136372365	0.634	0.839	2.088360140798111	0.31980539551520026	True	Both	Kidney stone disease	Genitourinary
