phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
ID_089.1	113	293	0.10255339890580718	0.9890499413260895	0.228	0.37153672871742127	-0.074	0.818	1.4499611003349573	0.16135635110636146	True	Both	Bacterial infections	Infections
MS_718.4	191	225	0.006694140132573699	2.174305200528213	0.21	0.5703053583482672	0.158	0.983	1.768807088988148	0.24768047013050914	True	Both	Low back pain	Muscloskeletal
GI_520	50	379	0.5124907102651545	0.2903140025007882	0.31	0.20325958778597636	-0.405	0.812	1.2253905233770195	0.08827451736937911	True	Both	Hernia	Gastrointestinal
MB_286.2	333	96	0.0000720807750461362	4.142180552266916	0.25	0.9931719734871488	0.503	1.484	2.6997845498840594	0.4313291076664315	True	Both	Major depressive disorder	Mental
EM_204	100	332	0.6410548734238589	0.1931047938740129	0.242	0.11302422202189179	-0.362	0.588	1.119659053026227	0.049085795945515626	True	Both	Abnormal glucose	Endocrine/Metab
MB_304	220	239	0.9893597597333389	0.0046457576883930495	4783.443	63.79179395964762	-9311.583	9439.167	5.063188629733528e+27	27.704424107384153	False	Both	Attention-deficit hyperactivity disorders	Mental
MB_287	135	302	0.030249191858366664	1.5192862235285443	0.213	0.46239707068532954	0.044	0.881	1.5878756769491147	0.2008164962468665	True	Both	Psychotic disorder	Mental
DE_660	186	216	0.20096213345072156	0.6968857673688653	0.205	0.26214875595297604	-0.14	0.664	1.2997198691175098	0.1138497581481797	True	Both	Infection of the skin	Dermatological
GU_582.1	58	370	0.4253258822064572	0.371278188512335	0.289	-0.2305831225522034	-0.797	0.336	0.7940704270983676	-0.10014097774444317	True	Both	Acute kidney failure	Genitourinary
NS_333	205	202	0.000017615931632637575	4.754094383864254	0.215	0.9213321759227976	0.501	1.342	2.512635433775808	0.40012948000318704	True	Both	Sleep disorders	Neurological
MS_718.1	91	339	0.0001577793505470826	3.801949835919202	0.259	0.9801705952273463	0.472	1.489	2.6649108242214457	0.4256826808310623	True	Both	Radiculopathy	Muscloskeletal
MB_282	323	98	0.6664665738555577	0.1762216274265901	0.233	0.10048035560774243	-0.356	0.557	1.1057019206484806	0.043638063980119025	True	Both	Nicotine dependence (current and history of)	Mental
MB_286.4	56	369	0.18301261718576023	0.7375189682735972	0.296	0.39393634836787716	-0.186	0.974	1.4828061626384985	0.17108438231728612	True	Both	Dysthymic disorder	Mental
BI_164	131	280	0.10596948730966484	0.9748191668169723	0.22	0.3562462873585384	-0.076	0.788	1.427959193257017	0.1547157967983334	True	Both	Anemia	Blood/Immune
MB_280.21	149	285	0.02561182723248745	1.5915594364211334	0.206	0.4587507953297753	0.056	0.862	1.5820963878434158	0.19923293898044947	True	Both	Opioid abuse or dependence	Mental
DE_660.12	61	363	0.386424578718921	0.4129352578711477	0.284	0.24605350313616717	-0.311	0.803	1.278968000510278	0.10685967866500186	True	Both	Dermatophytosis	Dermatological
SO_387	90	348	0.2752797396159816	0.5602257511812117	0.251	0.27336855836201374	-0.218	0.764	1.31438458299478	0.11872245642246959	True	Both	Disorders of refraction and accommodation	Sense organs
CV_416	88	321	0.7545486563329493	0.12231274993003054	0.245	-0.0765218796781601	-0.556	0.403	0.9263326462069251	-0.03323303008908953	True	Both	Cardiac arrhythmia and conduction disorders	Cardiovascular
MB_283	153	232	0.008621716918660795	2.064406240665825	0.212	0.5571099655075284	0.141	0.973	1.7456203004176365	0.24194978383323057	True	Both	Other mental and behavioral problems	Mental
SO_396	57	384	0.04404302866301686	1.3561228239779952	0.314	0.6312906654505972	0.017	1.246	1.8800355109198048	0.2741660524822262	True	Both	Hearing impairment	Sense organs
RE_465.1	104	306	0.1269897901642001	0.8962311944266541	0.236	0.36074933478782834	-0.103	0.824	1.4344038606627336	0.15667144544862263	True	Both	Acute Pharyngitis	Respiratory
EM_256.5	76	346	0.896436900782483	0.0474802745417467	0.255	0.03313350481947004	-0.466	0.532	1.033688532430633	0.014389698309210672	True	Both	Hypokalemia [Hypopotassemia]	Endocrine/Metab
GI_527	255	155	0.30916449587939776	0.5098103858047904	0.21	0.21401599676753563	-0.198	0.626	1.238642468910606	0.09294596643516491	True	Both	Abdominal pain	Gastrointestinal
MB_287.1	68	380	0.2981656150232279	0.5255424415896004	0.267	0.27798078800955917	-0.246	0.802	1.320460828284592	0.1207255223076692	True	Both	Schizophrenia	Mental
MB_290	261	163	0.0002524771709864383	3.5977778847248816	0.207	0.7563359915936259	0.351	1.161	2.130455894069614	0.32847254761393596	True	Both	Reaction to severe stress, and adjustment disorders	Mental
MB_287.2	60	397	0.6030717973481758	0.21963098083505392	0.279	0.14515589501375467	-0.402	0.692	1.156219805121222	0.06304040422020143	True	Both	Schizoaffective disorder	Mental
