phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
MB_286.2	265	75	0.00018369367953952943	3.735905786472245	0.287	1.0730333893412898	0.511	1.635	2.9242364075111316	0.46601247988886574	True	Both	Major depressive disorder	Mental
MS_713.31	89	231	0.17099976417325635	0.7670044885454138	0.264	0.3616929007698032	-0.156	0.88	1.4357579540878502	0.15708123094790594	True	Both	Pain in shoulder	Muscloskeletal
MS_713.38	61	258	0.024130795607945656	1.6174283588850662	0.292	0.6590602169665658	0.086	1.232	1.9329749035220565	0.28622621547053945	True	Both	Pain in ankle and joints of foot	Muscloskeletal
GI_529	173	150	0.012017973120443571	1.9201687716704325	0.229	0.5753033860998592	0.126	1.024	1.7776697654081353	0.2498510860034248	True	Both	Symptoms involving digestive system	Gastrointestinal
MB_286.11	107	229	0.00002160200308578173	4.665505976220937	0.249	1.0574500471098287	0.57	1.545	2.8790202552175677	0.4592447203481323	True	Both	Bipolar I disorder	Mental
GI_540.11	69	271	0.0007266545086323952	3.138672027460976	0.287	0.9686854088292632	0.407	1.531	2.634478919242289	0.42069472775474454	True	Both	Autoimmune hepatitis	Gastrointestinal
MS_715	79	250	0.004890493427115566	2.3106473204545797	0.283	0.795090961103917	0.241	1.349	2.214642433963037	0.3453036170185842	True	Both	Other non-inflammatory spondylopathy	Muscloskeletal
EM_236	149	190	0.029337032616797303	1.532583816304736	0.23	0.5007096123473844	0.05	0.951	1.649891638875955	0.21745542167838539	True	Both	Overweight and obesity	Endocrine/Metab
ID_054.31	116	234	0.00016902717616841103	3.7720434639595197	0.236	0.8858082778073743	0.424	1.347	2.424943627693709	0.3847016470759653	True	Both	Chronic hepatitis C	Infections
GI_540.3	137	213	0.004344124549634777	2.362097731659615	0.223	0.6366855334177056	0.199	1.074	1.890205462381357	0.27650901387093796	True	Both	Viral hepatitits	Gastrointestinal
CV_440	50	294	0.012349735499804688	1.9083423437974654	0.32	0.7995226216671906	0.173	1.426	2.2244787570234186	0.3472282627468821	True	Both	Embolism and thrombosis	Cardiovascular
GU_594	118	213	0.051141944826008826	1.2912227606439823	0.237	0.46254063489419156	-0.002	0.927	1.5881036554288306	0.2008788453905741	True	Both	Abnormality of urination	Genitourinary
SS_840.8	81	244	0.21759660120432223	0.6623478924744821	0.264	0.32594975128021497	-0.192	0.844	1.38534575527314	0.14155817835873477	True	Both	Allergies related to other diseases/symptoms	Symptoms
MB_284	146	181	0.7875778390188556	0.1037065126040433	0.227	0.06109217939507933	-0.383	0.505	1.062996896082022	0.026531996398726467	True	Both	Suicide ideation and attempt or self harm	Mental
MS_713	241	94	0.0027320092187424995	2.5635178395284837	0.259	0.7763980286320931	0.269	1.284	2.1736287993085353	0.33718537959548095	True	Both	Symptoms related to joints	Muscloskeletal
RE_465	69	239	0.025692537887065905	1.5901929943747628	0.283	0.6309834777872677	0.077	1.185	1.879458075899227	0.27403264257513343	True	Both	Pharyngitis	Respiratory
RE_474	82	268	0.23146654017979518	0.6355117798750979	0.288	0.34425364855032875	-0.22	0.908	1.4109364721141493	0.14950745994046913	True	Both	Chronic obstructive pulmonary disease [COPD]	Respiratory
MB_299	95	222	0.001855269642428752	2.7315929616777246	0.253	0.787487431393479	0.292	1.283	2.1978671907681964	0.3420014460223535	True	Both	Mental disorder, not otherwise specified	Mental
ID_088	62	279	0.7740082344284501	0.11125441897109371	0.286	-0.08198961606865865	-0.642	0.478	0.9212815251707832	-0.035607637831984625	True	Both	Sexually transmitted disease	Infections
RE_465.1	68	242	0.019972533901879422	1.6995668329863989	0.285	0.6621283579887495	0.104	1.22	1.9389146504495307	0.2875586921861748	True	Both	Acute Pharyngitis	Respiratory
DE_660.12	69	262	0.39608175928787726	0.40221515765384885	0.277	0.2354684230725249	-0.308	0.779	1.2655014199797276	0.1022626368028579	True	Both	Dermatophytosis	Dermatological
RE_463	102	212	0.18350675256741955	0.7363479502194543	0.248	0.3301159054781041	-0.156	0.817	1.391129358633287	0.14336751613763607	True	Both	Rhinitis and nasal congestion	Respiratory
EM_232	86	248	0.1521089605009775	0.817845201584698	0.256	0.36661236498421124	-0.135	0.868	1.4428385159691406	0.15921772711014387	True	Both	Vitamin deficiencies	Endocrine/Metab
SS_807	131	186	0.0040360179825553	2.3940469074234474	0.237	0.6823946060995737	0.217	1.148	1.978610055651808	0.29636021190958795	True	Both	Malaise and fatigue	Symptoms
EM_202.2	74	270	0.9147081681085492	0.03871744275967983	0.279	-0.02992978833144519	-0.578	0.518	0.9705136725407083	-0.012998341916879003	True	Both	Type 2 diabetes	Endocrine/Metab
GU_582.1	69	262	0.7180760002572266	0.143829588145454	0.289	0.1042990207546615	-0.462	0.671	1.1099322980925102	0.04529648918166223	True	Both	Acute kidney failure	Genitourinary
RE_463.2	70	256	0.2515410306379601	0.5993911639827917	0.277	0.317736562642201	-0.225	0.861	1.3740142468628294	0.13799123585441483	True	Both	Allergic rhinitis	Respiratory
EM_204	81	251	0.060499028783698734	1.2182515972031671	0.272	-0.5114558008954202	-1.045	0.023	0.5996220128342847	-0.2221224320662893	True	Both	Abnormal glucose	Endocrine/Metab
NS_331	158	154	0.5177777293248367	0.28585663339001427	0.233	0.1505665358690043	-0.306	0.607	1.1624926499886805	0.0653902156871966	True	Both	Headache	Neurological
MB_280.31	122	199	0.5810238022941796	0.23580607588285632	0.235	0.12957560522651673	-0.331	0.59	1.1383451730540537	0.056273970339150346	True	Both	Cannabis abuse or dependance	Mental
CV_417	102	207	0.08239160711379745	1.0841170258005577	0.247	0.4284042860480062	-0.055	0.912	1.5348064563912744	0.18605361745435134	True	Both	Abnormalities of heart beat	Cardiovascular
SS_840	146	173	0.060010180034304285	1.221775070321262	0.234	0.4399577889515642	-0.019	0.898	1.552641678494995	0.1910712400120198	True	Both	Allergy	Symptoms
NS_337	58	286	0.4875193426414999	0.31200814871247834	0.309	0.21423808383140244	-0.391	0.819	1.2389175859285415	0.09304241762150434	True	Both	Polyneuropathies	Neurological
RE_488.1	130	178	0.12860551532177414	0.8907404060428206	0.247	0.3758352614153087	-0.109	0.861	1.4562072204936203	0.16322318013733467	True	Both	Dyspnea [Shortness of breath]	Respiratory
MS_724	137	173	0.011006655835246489	1.9583446131728084	0.239	0.6077982852001115	0.139	1.076	1.8363837512505943	0.2639634413726673	True	Both	Other symptoms and disorders of the soft tissue	Muscloskeletal
NS_330.3	51	290	0.07016969062252663	1.1538504382670474	0.317	0.5740632937675105	-0.047	1.195	1.7754666570738147	0.24931252074643528	True	Both	Convulsions	Neurological
GI_511	138	194	0.11816329654998055	0.9275174014681525	0.236	0.36853913955725276	-0.094	0.831	1.4456212204959882	0.16005451467508727	True	Both	Gastro-esophageal reflux disease [GERD]	Gastrointestinal
CV_401	177	157	0.43699042407596456	0.3595280797722182	0.26	-0.20224583847556876	-0.712	0.308	0.8168940792599348	-0.08783425163783588	True	Both	Hypertension	Cardiovascular
NS_330	66	276	0.21082495113759314	0.676077991656266	0.281	0.3521112848787221	-0.199	0.904	1.4220667694412081	0.15291998803869292	True	Both	Epilepsy, recurrent seizures, convulsions	Neurological
GU_614	61	77	0.3509752927776335	0.4547234550099864	0.346	0.3222599800622301	-0.355	0.999	1.3802435651241642	0.13995573107927847	True	Female	Inflammatory diseases of female pelvic organs	Genitourinary
RE_462	68	260	0.1310930685776143	0.8824202706140749	0.281	0.4238649008047486	-0.126	0.974	1.527855167836746	0.18408218749197153	True	Both	Sinusitis	Respiratory
MS_745	130	201	0.10141145295027831	0.9939129949807012	0.23	0.3765843434396693	-0.074	0.827	1.4572984478045916	0.1635485023270074	True	Both	Fractures	Muscloskeletal
SS_809.3	209	117	0.00044586378047618564	3.3507978059150694	0.246	0.8625245339278548	0.381	1.344	2.3691341099274696	0.3745896455910414	True	Both	Pain in limb	Symptoms
MS_718.4	169	156	0.003809249221463829	2.4191606125410066	0.231	0.6678272714632908	0.215	1.12	1.9499959028351932	0.29003369886101216	True	Both	Low back pain	Muscloskeletal
SS_829	56	264	0.09008596192138428	1.0453428797764903	0.298	0.5057628515060246	-0.079	1.091	1.6582500366183	0.21965001556072025	True	Both	Abnormal findings on examination of blood	Symptoms
ID_057.1	52	305	0.2671023345573432	0.5733223160934119	0.308	-0.34189109248401917	-0.946	0.262	0.7104255711804522	-0.14848141487768382	True	Both	Human immunodeficiency virus	Infections
ID_054	137	213	0.004344124549634801	2.3620977316596123	0.223	0.6366855334177057	0.199	1.074	1.8902054623813571	0.27650901387093807	True	Both	Hepatovirus	Infections
EM_236.1	135	208	0.013850592004465466	1.8585316635108728	0.233	0.5722100257482132	0.117	1.028	1.772179288627236	0.24850765667216665	True	Both	Obesity	Endocrine/Metab
BI_160	55	276	0.13524114262054168	0.8688911686390409	0.301	0.45031087236714434	-0.141	1.041	1.5687998062016688	0.1955675270100903	True	Both	Deficiency anemias	Blood/Immune
DE_682	76	258	0.010146598495265995	1.9936795244820924	0.268	0.6887780754272649	0.164	1.214	1.991280851043907	0.29913251741400293	True	Both	Other follicular disorders	Dermatological
RE_495	79	262	0.010117958187186995	1.9949071196607469	0.275	0.7060104526721788	0.168	1.244	2.025892719749801	0.3066164437615441	True	Both	Abnormal findings on diagnostic imaging of lung	Respiratory
SS_809.34	80	240	0.11379685535075966	0.9438697390189993	0.269	0.42506237609499803	-0.102	0.952	1.5296858325164133	0.18460224440274234	True	Both	Pain in foot and toes*	Symptoms
GI_540.1	117	230	0.0001630107039749385	3.7877838770400856	0.235	0.886703569195923	0.426	1.348	2.42711563098414	0.3850904671857076	True	Both	Chronic hepatitis	Gastrointestinal
CV_417.2	74	247	0.3125967881284173	0.5050154885857733	0.268	0.270420560971227	-0.254	0.795	1.3105154865188713	0.11744215742298576	True	Both	Tachycardia	Cardiovascular
EM_230	64	263	0.29434895032843766	0.5311375085774115	0.287	0.30070743902887265	-0.261	0.863	1.3508140882415223	0.13059558143749794	True	Both	Malnutrition and underweight	Endocrine/Metab
GI_529.1	80	228	0.04112545968853321	1.3858892345963132	0.272	0.5544905646202126	0.022	1.087	1.7410538044066506	0.2408121924819768	True	Both	Diarrhea	Gastrointestinal
NS_329.8	70	251	0.16361088369382615	0.7861878096442028	0.273	0.379613962533874	-0.154	0.914	1.4617202017409707	0.16486424918188924	True	Both	Altered mental status, unspecified	Neurological
GU_594.2	59	272	0.21737083366129262	0.6627987290156866	0.302	0.3719644892950597	-0.219	0.963	1.4505814692080041	0.16154212516480565	True	Both	Dysuria	Genitourinary
MB_283.4	82	245	0.4942886383877718	0.30601937202395924	0.26	-0.1773813189443433	-0.686	0.331	0.8374603841205497	-0.07703572801024905	True	Both	Patient's noncompliance with medical treatment and regimen	Mental
MB_280.3	138	181	0.564541492356242	0.24830413303195842	0.231	0.1330330637336419	-0.32	0.586	1.1422877660049582	0.057775525490204274	True	Both	Cannabis use disorders	Mental
GI_557	52	278	0.7116366935294192	0.1477416668465455	0.311	-0.11484228237975368	-0.724	0.494	0.8915067391406979	-0.049875369526702074	True	Both	Gastrointestinal hemorrhage	Gastrointestinal
MB_290.1	182	158	1.6010463425064357e-7	6.795596097185297	0.23	1.2049262674202506	0.754	1.656	3.336513059282498	0.5232928290408968	True	Both	Posttraumatic stress disorder	Mental
GU_614.5	58	81	0.21693668768397978	0.6636669951903353	0.348	0.4295398518502218	-0.252	1.111	1.5365503200647537	0.18654678741609163	True	Female	Inflammatory disease of cervix, vagina, and vulva	Genitourinary
MB_280.1	226	108	0.04583505149033189	1.3388022764344494	0.244	0.4865926309839785	0.009	0.964	1.6267637812190696	0.21132449457112715	True	Both	Alcohol use disorders	Mental
RE_499.1	159	151	0.014973008892417912	1.824690917488156	0.235	0.5709006524567853	0.111	1.031	1.7698603629001004	0.24793900307694805	True	Both	Cough	Respiratory
EM_256.5	58	276	0.8732748865106761	0.05884902902812817	0.294	-0.04690752737060692	-0.623	0.53	0.9541756286401128	-0.02037168029678033	True	Both	Hypokalemia [Hypopotassemia]	Endocrine/Metab
SS_805	71	251	0.001372340749798236	2.862538040682284	0.28	0.896224691631102	0.347	1.445	2.450334857213899	0.38922543812083105	True	Both	Fever	Symptoms
RE_460.1	148	169	0.004550197168093585	2.3419697841868885	0.233	0.6624550580167331	0.205	1.12	1.9395481974043594	0.2877005762055657	True	Both	Acute upper respiratory infection	Respiratory
ID_089	284	52	0.17458735379546841	0.7579872175362493	0.31	0.4209209817801818	-0.187	1.029	1.5233639001492536	0.18280365970443216	True	Both	Infections	Infections
BI_164	130	206	0.1352981742363014	0.8687080638935043	0.23	0.3431445326530338	-0.107	0.793	1.4093724475454412	0.14902577702648276	True	Both	Anemia	Blood/Immune
DE_679	107	202	0.014664812980077019	1.8337234711927004	0.246	0.5999252852951747	0.118	1.082	1.8219826664078498	0.26054424095792844	True	Both	Skin symptoms	Dermatological
MB_288.3	114	222	9.5915515481832e-7	6.0181111348197955	0.244	1.194442729223506	0.717	1.672	3.3017173071635577	0.5187398862512287	True	Both	Generalized anxiety disorder	Mental
MS_713.36	66	259	0.143803041748389	0.8422319275792182	0.284	0.4151399460291874	-0.141	0.972	1.5145826856940106	0.18029298777808986	True	Both	Pain in hip	Muscloskeletal
GI_520	51	292	0.017531797139236645	1.7561735632188444	0.325	0.7715540967045214	0.135	1.408	2.1631253489057087	0.33508168668862154	True	Both	Hernia	Gastrointestinal
MS_719	58	259	0.723376818237075	0.1406354130101681	0.295	-0.10442134222535293	-0.683	0.474	0.9008456531345458	-0.04534961272140179	True	Both	Disorders of muscle	Muscloskeletal
GI_502	142	183	0.058505534288807226	1.2328030502014529	0.228	0.43138885681002037	-0.016	0.878	1.5393940374411204	0.18734980006714386	True	Both	Diseases of teeth and supporting structures	Gastrointestinal
SS_800	189	125	0.06394426849256644	1.194198376495779	0.243	0.451027351427572	-0.026	0.928	1.569924221174606	0.19587868991243323	True	Both	Chest pain	Symptoms
EM_256	131	194	0.7498954465309908	0.12499928348819493	0.234	0.07445544027333076	-0.383	0.532	1.0772973383777753	0.03233558685838472	True	Both	Disorders of fluid, electrolyte and acid-base balance	Endocrine/Metab
ID_089.2	240	86	0.14054536340792284	0.8521834771968371	0.255	0.375424418936932	-0.124	0.875	1.455609071591025	0.16304475351604425	True	Both	Viral infections	Infections
RE_499	162	144	0.02310540633174317	1.636286389574093	0.235	0.5347168670837296	0.073	0.996	1.706964875885695	0.23222458475505825	True	Both	Other symptoms and disorders of the respiratory system	Respiratory
MB_286.1	179	166	0.0008544005747434855	3.068338468171511	0.224	0.7467416868190896	0.308	1.186	2.110113393035457	0.32430579399265685	True	Both	Bipolar disorder	Mental
DE_679.1	80	224	0.12787471787197108	0.8932153114559814	0.266	0.40558824213910655	-0.117	0.928	1.5001847124183723	0.17614473548585394	True	Both	Rash and other nonspecific skin eruption	Dermatological
EM_236.11	60	291	0.3201656751972711	0.49462523041634093	0.293	0.2910651704549482	-0.283	0.865	1.3378517695175154	0.12640799740281336	True	Both	Morbid obesity	Endocrine/Metab
SS_809.32	58	271	0.05573674595193905	1.25385839006063	0.301	0.5752675827237663	-0.014	1.165	1.777606119968323	0.24983553679475415	True	Both	Pain in leg*	Symptoms
GU_582	81	252	0.6881652082450802	0.16230728790388232	0.279	0.11205445601793766	-0.435	0.659	1.1185737720599296	0.04866463192126099	True	Both	Renal failure	Genitourinary
CV_404	50	289	0.6553334927103163	0.18353763560319594	0.337	-0.15053870466695188	-0.812	0.51	0.8602444338887488	-0.06537812874972052	True	Both	Ischemic heart disease	Cardiovascular
NS_354	56	248	0.12762266002825287	0.8940722076563274	0.311	0.47360516199364255	-0.136	1.083	1.6057728416958814	0.20568410845473462	True	Both	Dizziness and giddiness	Neurological
