phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GU_620	75	3279	0.8019755074149353	0.09583889500382663	0.251	0.06286222366450273	-0.428	0.554	1.0648801138440651	0.02730071685766155	True	Female	Noninflammatory disorders of vulva and perineum	Genitourinary
GI_515	140	5730	0.00001222426486463738	4.912777248754947	0.173	0.7562318354160623	0.417	1.095	2.130234005482954	0.32842731316076396	True	Both	Heartburn	Gastrointestinal
MS_713.2	341	5339	7.474538836641053e-9	8.12641559723502	0.115	0.6664839007348293	0.44	0.892	1.9473780941561654	0.289450280366491	True	Both	Effusion of joint	Muscloskeletal
RE_478	104	5842	0.14502685499330786	0.8385515708994595	0.208	0.3033659451725715	-0.105	0.711	1.3544100135710013	0.13175015598581225	True	Both	Aspiration pneumonia	Respiratory
MS_718.5	722	5083	6.875844501768531e-15	14.162673953507309	0.084	0.6522920507587949	0.488	0.816	1.9199363813146983	0.2832868382339005	True	Both	Sciatica	Muscloskeletal
NS_337	659	5145	0.0058373699687771915	2.2337827805108867	0.092	0.25357518378629385	0.073	0.434	1.2886242594942818	0.11012630306599035	True	Both	Polyneuropathies	Neurological
PP_910	155	3260	0.008078929036524891	2.0926462065960223	0.171	0.45309229925519184	0.118	0.788	1.5731693821756116	0.19677548535938666	True	Female	Obesity or excessive weight gain in pregnancy	Pregnancy
GI_516.4	133	5892	0.19698937222222646	0.7055572038371252	0.183	0.23659910158694664	-0.123	0.596	1.2669331044801948	0.10275368424247783	True	Both	Gastroparesis	Gastrointestinal
NS_331.1	194	5684	1.1066236126059649e-8	7.956000067254826	0.147	0.8423533849261795	0.553	1.131	2.3218246994499485	0.36582942688596565	True	Both	Tension headache	Neurological
SS_840.61	399	5440	0.0005903343032992718	3.2289019799488274	0.108	0.3721092791783665	0.16	0.584	1.4507915139354666	0.16160500661216118	True	Both	Allergy to other anti-infective agents	Symptoms
MS_719.1	534	5044	9.037159402826976e-14	13.043968057305733	0.095	0.7069284401130311	0.521	0.893	2.027753317695158	0.3070151206415628	True	Both	Cramp and spasm	Muscloskeletal
NS_333.5	94	5893	6.168803370788769e-6	5.209799072573718	0.209	0.9454504712139999	0.536	1.355	2.573972618036772	0.4106039225610695	True	Both	Parasomnias	Neurological
SS_809.1	412	5090	5.753046094192846e-14	13.24010214633372	0.104	0.7838148339313739	0.579	0.988	2.189810113558128	0.3404064572103094	True	Both	Acute pain	Symptoms
MB_308	318	5535	8.112837182142994e-10	9.090827239861714	0.117	0.7206154026922301	0.491	0.951	2.0556979034804996	0.3129592929637253	True	Both	Symptoms related to mental disorders	Mental
MS_719.9	78	5936	0.000035951663971988524	4.444281004109224	0.23	0.9496458605819851	0.499	1.4	2.5847941197258377	0.4124259570130209	True	Both	Contractures	Muscloskeletal
GU_625.1	78	3285	0.0020136650857082	2.696012759961132	0.23	0.71104126527007	0.26	1.162	2.0361102861474167	0.30880129791229766	True	Female	Dyspareunia	Genitourinary
MS_706.1	100	5901	0.00448754665214353	2.3479910235026074	0.206	0.5864370555270101	0.182	0.991	1.7975723416884997	0.25468637719897136	True	Both	Sacroiliitis	Muscloskeletal
DE_660.21	51	5923	0.0001172648344777904	3.9308322051218267	0.285	1.0973634948253366	0.539	1.656	2.996255956727339	0.4765789104447113	True	Both	Impetigo	Dermatological
NS_325.1	59	5936	0.0006923458330242708	3.159676917311484	0.266	0.9015044073089239	0.381	1.422	2.4633061407884433	0.3915183895057272	True	Both	Abnormality of gait	Neurological
MB_280.9	1628	4080	3.467511623750419e-36	35.45998207441554	0.062	0.7849875429301993	0.662	0.907	2.1923796299370304	0.34091575825737763	True	Both	Psychoactive substance dependance	Mental
MB_282.1	4639	222	0.64184286002887	0.19257128560054307	0.149	-0.06940737755523951	-0.362	0.223	0.9329465411723181	-0.03014324107561615	True	Both	Current tobacco use and nicotine dependence	Mental
SO_367	485	5172	7.28910548958119e-17	16.137325764518085	0.097	0.8132738128201752	0.622	1.004	2.2552792761891842	0.35320032918422023	True	Both	Inflammation of the eye	Sense organs
CV_413.6	65	5996	0.054621982247287676	1.2626325432398988	0.259	0.49850558275085566	-0.01	1.007	1.6462592333079382	0.21649822378666145	True	Both	Heart valve replaced	Cardiovascular
GI_554.11	223	5769	0.7438573158972611	0.1285103613106178	0.148	0.04822096502202694	-0.241	0.337	1.0494025109564833	0.020942099021115993	True	Both	Acute pancreatitis	Gastrointestinal
BI_168.21	87	5950	0.5391323446736435	0.26830461235258607	0.23	0.14130332268774218	-0.31	0.592	1.151773954177272	0.06136725331788103	True	Both	Primary thrombophilia	Blood/Immune
DE_679.3	83	5887	7.795556501880936e-6	5.1081528763610615	0.224	1.0011669226872426	0.562	1.44	2.7214557046689136	0.43480126998712904	True	Both	Flushing	Dermatological
EM_211.2	67	5980	0.4175642997388357	0.37927663905079884	0.26	0.21064960296876395	-0.299	0.72	1.234479721239574	0.091483960184445	True	Both	Adrenocortical insufficiency	Endocrine/Metab
