phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
MS_721.2	124	4580	1.1111115060223812e-11	10.954242355082345	10.821	73.4917538930455	52.282	94.701	8.26158130282263e+31	31.917063181141486	True	Both	Ganglion cyst	Muscloskeletal
GU_586.2	76	4642	0.9975506283809784	0.0010650534672677458	4350.392	13.354993741585334	-8513.257	8539.967	630957.4720723176	5.800000087822974	False	Both	Cyst of kidney	Genitourinary
EM_208	110	4679	0.9982158459291138	0.0007755403154656696	6013.087	13.445908760759076	-11800.0	11800.0	691009.4377488554	5.8394839789722575	False	Both	Disorders of parathyroid gland	Endocrine/Metab
BI_174	52	4695	0.9980086220240192	0.0008657067273788502	5277.431	13.171542449339512	-10300.0	10400.0	525204.216285095	5.720328203902592	False	Both	Diseases of spleen	Blood/Immune
CV_417	1107	3214	0.9953813664261152	0.0020104935237430983	2480.404	14.358142326447057	-4847.144	4875.86	1720528.9428856568	6.235661982757476	False	Both	Abnormalities of heart beat	Cardiovascular
DE_660.123	121	4590	0.99750452699546	0.0010851246690972793	4514.957	14.121056445843998	-8835.033	8863.275	1357365.7703222493	6.132696893074393	False	Both	Dermatophytosis of foot [Athelet's foot]	Dermatological
CV_423.1	142	4579	0.9976966152276056	0.0010015011609188877	4720.992	13.62888455523186	-9239.346	9266.603	829754.004092449	5.918949356833651	False	Both	Cardiac murmurs	Cardiovascular
NS_329.4	408	4016	0.9151809780088237	0.03849301524647916	50.701	5.399914146806422	-93.971	104.771	221.38740857222191	2.3451529167093352	False	Both	Specified cognitive deficit	Neurological
SO_367.3	51	4717	0.998136725207822	0.000809964788553259	5380.221	12.564272799797871	-10500.0	10600.0	286150.3925868016	5.456594346079336	False	Both	Keratoconjunctivitis	Sense organs
RE_465.11	160	4418	0.9958294264859167	0.0018150445883416378	2013.184	10.523038683232851	-3935.245	3956.291	37161.87626710289	4.570097632982488	False	Both	Streptococcal tonsillitis/pharyngitis	Respiratory
MS_719.11	348	4190	0.9884471219801061	0.005046558769632657	704.477	10.200757422956439	-1370.55	1390.951	26923.570884018463	4.430132660023617	False	Both	Spasm of muscle	Muscloskeletal
RE_462.1	693	3565	0.9943418569110645	0.002464278534694432	1848.707	13.11008946506514	-3610.29	3636.51	493900.55244544894	5.6936395119357455	False	Both	Acute sinusitis	Respiratory
SS_840.611	99	4632	0.9978773353588887	0.0009228413287672584	4911.175	13.06553640695631	-9612.661	9638.792	472378.7630980867	5.674290364647165	False	Both	Penicillin allergy	Symptoms
SO_390.4	269	4324	0.9949947200767763	0.0021792238247317613	2098.258	13.162854987892514	-4099.348	4125.673	520661.2867389189	5.716555287334414	False	Both	Impacted cerumen	Sense organs
GU_612.2	94	3028	0.3690661789823909	0.43289575148359605	13.206	11.861828954084721	-14.021	37.745	141751.23783653168	5.1515268600392154	True	Female	Breast conditions, congenital or relating to hormones	Genitourinary
