phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GU_612	95	601	0.013724510278346215	1.8625031432134898	0.224	0.5520850821233161	0.113	0.991	1.7368707630873774	0.2397675047072598	True	Female	Other nonmalignant breast conditions	Genitourinary
MS_741.7	98	1252	0.004908668253859497	2.3090363181520526	0.213	0.5979806342420916	0.181	1.015	1.8184429887313713	0.2596996897363471	True	Both	Back sprain	Muscloskeletal
EM_237	57	1334	0.054320104894785066	1.2650394000828133	0.273	0.5262617179091461	-0.01	1.062	1.6925930766966821	0.22855256012486785	True	Both	Abnormal weight gain	Endocrine/Metab
CV_416.4	53	1335	0.6077271059020434	0.21629139277699844	0.288	0.1476179358170497	-0.416	0.711	1.159069972633639	0.06410965495529312	True	Both	Heart block	Cardiovascular
GU_581	127	1224	0.7312141027604191	0.13595544105435917	0.191	-0.0657068626456424	-0.441	0.309	0.9364053194410726	-0.02853612787017741	True	Both	Renal tubulo-interstitial diseases	Genitourinary
RE_495	239	1080	0.010972449260269983	1.9596964187797046	0.15	0.3825146217169977	0.088	0.677	1.4659663091453594	0.16612398945900186	True	Both	Abnormal findings on diagnostic imaging of lung	Respiratory
RE_498	149	1205	0.27191605948463893	0.5655651420278109	0.182	-0.19994306368467152	-0.557	0.157	0.8187773699173911	-0.08683416925308331	True	Both	Asphyxia and hypoxemia	Respiratory
MS_723	192	1166	0.00013184304542027532	3.8799427738360888	0.167	0.6392900754930492	0.312	0.967	1.8951349988450563	0.27764015212214455	True	Both	Enthesopathy/Enthesitis/Tendinopathy	Muscloskeletal
SS_809.21	318	1026	0.09429843646453988	1.0254955081158212	0.134	0.22488065935881613	-0.039	0.488	1.2521732721134984	0.09766442944629873	True	Both	Chronic pain syndrome	Symptoms
EM_239.3	105	1304	0.060099102089610446	1.2211320165237245	0.214	0.4025972836424993	-0.017	0.822	1.4957044257220558	0.17484577871517576	True	Both	Mixed hyperlipidemia	Endocrine/Metab
ID_054.32	53	1371	0.000025935053350716848	4.586112854287011	0.306	1.2868740030291044	0.687	1.886	3.621448207038542	0.5588822784202886	True	Both	Acute hepatitis C	Infections
SS_809.34	261	1033	0.00003793297772892531	4.420983063954706	0.142	0.5866237530317173	0.308	0.866	1.7979079752892266	0.2547674588950508	True	Both	Pain in foot and toes*	Symptoms
MS_745	430	911	0.0011430056817393712	2.941951610775389	0.121	0.39422103409944215	0.157	0.632	1.4832283564891096	0.1712080197595814	True	Both	Fractures	Muscloskeletal
MB_284	340	1003	5.928537643924214e-6	5.227052418186348	0.129	0.5832842203490574	0.331	0.836	1.7919138172594646	0.25331711827883596	True	Both	Suicide ideation and attempt or self harm	Mental
MS_700	97	1310	0.009169673810626952	2.037646113050196	0.215	0.559282279210955	0.139	0.98	1.7494164570459234	0.2428932076875915	True	Both	Diffuse diseases of connective tissue	Muscloskeletal
BI_177.2	100	1253	0.021549388079270638	1.6665650576410356	0.21	0.4827092517080561	0.071	0.894	1.6204586909164975	0.20963796438045662	True	Both	Enlargement of lymph nodes [Lymphadenopathy]	Blood/Immune
EM_239	414	953	0.0006283869481845876	3.2017728439857858	0.14	0.48002655422526413	0.205	0.755	1.6161173163663867	0.20847288366706432	True	Both	Hyperlipidemia	Endocrine/Metab
